"","namesOLD","sampleType","CultureName","SampleDateOld","SampleDateNew","simpleNames","namesNew","order"
"50","Vers_302_20","Vers","302","20","2020","starter 3","Vers RMK302
2020",84
"56","Therm_302_20","Therm","302","20","2020","starter 4","Therm RMK302
2020",85
"66","24h_302_20","24h","302","20","2020","starter 5","24h RMK302
2020",86
"81","M17x_302_20","M17x","302","20","2020","starter 6","M17x RMK302
2020",87
"44","FSK_305_76","FSK","305","76","1976","starter 1","FSK RMK305
1976",88
"26","Lyo_305_96_1","Lyo","305","96_1","1996 Jan","starter 2","Lyo RMK305
1996 Jan",89
"9","Lyo_305_17","Lyo","305","17","2017","starter 3","Lyo RMK305
2017",90
"12","Ws_305_19","Ws","305","19","2019","starter 4","Ws RMK305
2019",91
"55","Therm_305_20","Therm","305","20","2020","starter 6","Therm RMK305
2020",92
"80","M17x_305_20","M17x","305","20","2020","starter 8","M17x RMK305
2020",93
"86","24h_305_20","24h","305","20","2020","starter 7","24h RMK305
2020",94
"87","Vers_305_20","Vers","305","20","2020","starter 5","Vers RMK305
2020",95
